MaDichVu,TenDichVu,NhomQuyTrinh,QuyTrinh,MucDich
DV001,Facial cơ bản,Chăm sóc da mặt cơ bản,"1. Tẩy trang; 2. Rửa mặt; 3. Xông hơi; 4. Hút mụn nhẹ; 5. Massage; 6. Đắp mask; 7. Dưỡng ẩm","Làm sạch và cân bằng da"
DV002,Facial trị mụn,Chăm sóc da mụn,"1. Soi da; 2. Làm sạch; 3. Xông hơi; 4. Lấy mụn; 5. Sát khuẩn; 6. Đắp mask phục hồi; 7. Dưỡng da","Hỗ trợ làm sạch sâu và giảm bít tắc"
DV003,Facial dưỡng ẩm chuyên sâu,Chăm sóc da khô,"1. Làm sạch; 2. Tẩy tế bào chết nhẹ; 3. Xông hơi nhẹ; 4. Serum cấp ẩm; 5. Massage; 6. Đắp mask cấp ẩm; 7. Khóa ẩm","Phục hồi da khô và mất nước"
DV004,Facial chống lão hóa,Chăm sóc da lão hóa,"1. Soi da; 2. Làm sạch; 3. Massage nâng cơ; 4. Serum chống lão hóa; 5. Đắp mask; 6. Điện di; 7. Dưỡng khóa","Hỗ trợ giảm nếp nhăn và tăng đàn hồi"
DV005,Massage body thư giãn,Massage toàn thân,"1. Đón khách; 2. Khởi động cơ; 3. Massage lưng; 4. Massage tay chân; 5. Massage vai gáy; 6. Nghỉ thư giãn","Giảm căng cơ và thư giãn toàn thân"
DV006,Massage cổ vai gáy,Massage vùng cổ vai gáy,"1. Thăm hỏi tình trạng; 2. Làm nóng cơ; 3. Massage cổ; 4. Massage vai; 5. Massage gáy; 6. Thư giãn","Hỗ trợ giảm đau mỏi cổ vai gáy"
DV007,Massage đá nóng,Massage kết hợp đá nóng,"1. Chuẩn bị đá nóng; 2. Massage lưng; 3. Massage vai gáy; 4. Massage tay chân; 5. Thả lỏng cơ thể","Thư giãn sâu bằng đá nóng"
DV008,Body scrub tẩy tế bào chết,Tẩy tế bào chết body,"1. Tắm làm sạch; 2. Thoa scrub; 3. Massage tẩy da chết; 4. Làm sạch lại; 5. Dưỡng ẩm body","Làm mịn và sáng da body"
DV009,Body mask dưỡng da,Dưỡng da body,"1. Làm sạch; 2. Thoa mask body; 3. Ủ mask; 4. Massage nhẹ; 5. Dưỡng ẩm","Dưỡng ẩm và phục hồi da body"
DV010,Triệt lông cơ bản,Triệt lông vùng tay chân nách,"1. Làm sạch vùng điều trị; 2. Cạo/chuẩn bị; 3. Triệt lông; 4. Làm dịu da; 5. Dưỡng sau triệt","Loại bỏ lông vùng tay chân nách"
DV011,Gội đầu dưỡng sinh,Gội đầu thư giãn,"1. Khai thông vùng đầu; 2. Gội làm sạch; 3. Massage đầu; 4. Massage cổ vai gáy; 5. Ủ dưỡng tóc; 6. Sấy khô","Làm sạch và thư giãn đầu vai gáy"
DV012,Chăm sóc da lưng,Chăm sóc da lưng chuyên sâu,"1. Làm sạch; 2. Tẩy da chết; 3. Xông hơi; 4. Lấy nhân mụn; 5. Đắp mask lưng; 6. Dưỡng da","Làm sạch và giảm mụn lưng"
DV013,Trị nám tàn nhang,Chăm sóc da sắc tố,"1. Soi da; 2. Làm sạch; 3. Thoa serum đặc trị; 4. Điện di; 5. Đắp mask phục hồi; 6. Dưỡng khóa","Hỗ trợ cải thiện sắc tố da"
DV014,Điện di tinh chất,Đưa dưỡng chất vào da,"1. Làm sạch; 2. Thoa tinh chất; 3. Điện di; 4. Đắp mask; 5. Dưỡng ẩm","Đưa dưỡng chất vào da"
DV015,Phục hồi da nhạy cảm,Phục hồi da kích ứng,"1. Soi da; 2. Làm sạch dịu nhẹ; 3. Serum phục hồi; 4. Đắp mask làm dịu; 5. Dưỡng khóa","Làm dịu và phục hồi da dễ kích ứng"